School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Villa Duchesne,2.24,2.19,4.43,2,1,1
Nixa,2.32,2.06,4.39,1,4,2
Lafayette (Wildwood),2.11,2.11,4.21,3,2,3
St. Pius X (Festus),1.93,2.1,4.03,6,3,4
Francis Howell,2.0,1.96,3.95,5,5,5
Ozark,1.88,1.93,3.81,8,6,6
St. Joseph's Academy,1.87,1.85,3.72,9,7,7
Lee's Summit North,1.89,1.74,3.63,7,9,8
St. Teresa's Academy,2.02,1.59,3.61,4,16,9
Cor Jesu Academy,1.73,1.67,3.4,11,11,10
Eureka,1.57,1.74,3.32,16,8,11
Glendale,1.56,1.7,3.26,17,10,12
Park Hill South,1.6,1.64,3.25,14,12,13
Ursuline Academy,1.73,1.51,3.24,10,18,14
Blue Springs,1.63,1.6,3.23,12,15,15
Helias Catholic,1.6,1.62,3.22,13,13,16
Blue Springs South,1.59,1.61,3.2,15,14,17
Bishop DuBourg,1.56,1.5,3.06,18,19,18
Lutheran South,1.52,1.52,3.04,19,17,19
Pleasant Hill,1.48,1.49,2.98,23,20,20
Lutheran St. Charles,1.5,1.46,2.96,22,24,21
Notre Dame (Cape Girardeau),1.5,1.46,2.96,20,22,22
Lee's Summit,1.5,1.46,2.96,21,23,23
Northwest (Cedar Hill),1.43,1.49,2.92,28,21,24
Parkway West,1.46,1.44,2.91,25,25,25
Kickapoo,1.41,1.4,2.82,30,26,26
Timberland,1.44,1.36,2.8,27,29,27
Oak Park,1.39,1.4,2.79,31,27,28
Ft. Zumwalt West,1.47,1.3,2.76,24,31,29
Staley,1.43,1.31,2.74,29,30,30
Marquette,1.44,1.3,2.74,26,32,31
Dexter,1.32,1.37,2.68,34,28,32
St. Dominic,1.37,1.26,2.64,32,35,33
Nerinx Hall,1.34,1.22,2.57,33,37,34
Ste. Genevieve,1.28,1.29,2.57,40,33,35
Kirkwood,1.29,1.27,2.56,38,34,36
Santa Fe,1.27,1.25,2.51,41,36,37
Washington,1.31,1.2,2.51,35,39,38
Duchesne,1.28,1.19,2.48,39,40,39
Liberty,1.29,1.18,2.47,36,41,40
Raymore-Peculiar,1.29,1.16,2.45,37,43,41
Notre Dame de Sion,1.18,1.2,2.38,42,38,42
Lindbergh,1.16,1.17,2.33,43,42,43
Winfield,1.13,1.02,2.15,45,52,44
Webster Groves,1.03,1.13,2.15,53,44,45
Parkway Central,1.12,1.03,2.14,46,51,46
Holt,1.07,1.05,2.12,49,49,47
Hermann,1.04,1.06,2.1,51,46,48
Perryville,1.09,1.01,2.09,48,55,49
Francis Howell Central,1.03,1.06,2.09,52,48,50
Parkway North,1.05,1.03,2.08,50,50,51
Valle Catholic,1.14,0.95,2.08,44,63,52
St. Vincent,0.98,1.08,2.06,56,45,53
Incarnate Word Academy,1.02,0.99,2.01,54,57,54
Ft. Zumwalt East,1.1,0.89,1.98,47,67,55
Liberty (Mountain View),0.92,1.06,1.98,63,47,56
Farmington,0.99,0.96,1.95,55,59,57
Carl Junction,0.93,1.02,1.95,61,54,58
New Haven,0.96,0.96,1.93,58,60,59
North Kansas City,0.97,0.96,1.93,57,61,60
Bishop LeBlond,0.88,1.02,1.9,71,53,61
Willard,0.93,0.96,1.88,62,62,62
Blair Oaks,0.87,1.0,1.87,72,56,63
Logan-Rogersville,0.94,0.93,1.87,60,64,64
Fair Grove,0.88,0.99,1.87,68,58,65
Mehlville,0.94,0.89,1.83,59,66,66
Mt. Vernon,0.92,0.83,1.74,65,70,67
Hillsboro,0.92,0.81,1.73,64,72,68
Republic,0.89,0.84,1.73,67,69,69
