School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Villa Duchesne,2.24,2.19,4.43,1,1,1
St. Pius X (Festus),1.93,2.1,4.03,2,2,2
Helias Catholic,1.6,1.62,3.22,3,3,3
Bishop DuBourg,1.56,1.5,3.06,4,5,4
Lutheran South,1.52,1.52,3.04,5,4,5
Pleasant Hill,1.48,1.49,2.98,7,6,6
Notre Dame (Cape Girardeau),1.5,1.46,2.96,6,7,7
Dexter,1.32,1.37,2.68,9,8,8
St. Dominic,1.37,1.26,2.64,8,10,9
Ste. Genevieve,1.28,1.29,2.57,11,9,10
Duchesne,1.28,1.19,2.48,10,11,11
Winfield,1.13,1.02,2.15,12,12,12
Perryville,1.09,1.01,2.09,13,13,13
Blair Oaks,0.87,1.0,1.87,16,14,14
Logan-Rogersville,0.94,0.93,1.87,14,15,15
Mt. Vernon,0.92,0.83,1.74,15,16,16
St. Pius X (Kansas City),0.87,0.79,1.66,17,17,17
North County,0.84,0.73,1.58,18,18,18
Savannah,0.77,0.73,1.5,19,19,19
St. Charles,0.76,0.71,1.47,20,20,20
Aurora,0.5,0.61,1.11,23,21,21
Windsor (Imperial),0.51,0.53,1.04,22,22,22
Veritas Christian Academy,0.46,0.47,0.94,24,24,23
MICDS,0.44,0.42,0.85,25,26,24
Festus,0.36,0.48,0.85,30,23,25
Orchard Farm,0.41,0.43,0.84,26,25,26
Nevada,0.56,0.24,0.79,21,33,27
Marshfield,0.4,0.38,0.78,27,29,28
Fredericktown,0.37,0.41,0.78,29,27,29
Buffalo,0.39,0.37,0.76,28,30,30
Eldon,0.34,0.38,0.71,31,28,31
Boonville,0.29,0.24,0.53,32,31,32
Springfield Catholic,0.26,0.24,0.5,35,32,33
Warrensburg,0.25,0.23,0.48,36,34,34
Oak Grove,0.28,0.2,0.48,34,35,35
DeSoto,0.28,0.19,0.47,33,36,36
Warrenton,0.2,0.14,0.33,37,38,37
Notre Dame (St. Louis),0.18,0.13,0.31,38,39,38
California,0.08,0.19,0.27,44,37,39
Hollister,0.13,0.1,0.23,40,41,40
Lafayette (St. Joseph),0.13,0.05,0.17,41,42,41
Reeds Spring,0.16,-0.01,0.15,39,46,42
John Burroughs,0.12,0.03,0.15,42,43,43
Owensville,0.02,0.11,0.13,48,40,44
Affton,0.08,0.0,0.08,45,45,45
Liberty (Wentzville),0.07,-0.01,0.06,46,47,46
O'Hara,0.04,0.01,0.05,47,44,47
Odessa,0.1,-0.16,-0.06,43,54,48
Pembroke Hill,-0.04,-0.09,-0.13,50,48,49
Maryville,-0.02,-0.14,-0.16,49,52,50
Excelsior Springs,-0.1,-0.13,-0.23,52,50,51
Fulton,-0.06,-0.17,-0.23,51,55,52
Clayton,-0.1,-0.17,-0.27,53,56,53
East Newton,-0.18,-0.09,-0.27,56,49,54
Mountain Grove,-0.15,-0.13,-0.28,55,51,55
St. Charles West,-0.18,-0.15,-0.33,57,53,56
Benton,-0.13,-0.28,-0.42,54,60,57
Potosi,-0.24,-0.23,-0.47,58,58,58
Central (Park Hills),-0.28,-0.27,-0.55,61,59,59
Bolivar,-0.34,-0.21,-0.55,63,57,60
John F. Kennedy,-0.27,-0.32,-0.58,60,62,61
Chillicothe,-0.24,-0.37,-0.61,59,64,62
Harrisonville,-0.33,-0.29,-0.62,62,61,63
Southern Boone,-0.39,-0.34,-0.74,64,63,64
Marshall,-0.46,-0.38,-0.84,66,65,65
Seneca,-0.41,-0.47,-0.88,65,67,66
Osage,-0.47,-0.44,-0.91,67,66,67
St. Clair,-0.5,-0.5,-1.0,68,69,68
Doniphan,-0.5,-0.5,-1.0,69,70,69
Clinton,-0.58,-0.48,-1.06,72,68,70
Miller Career Academy,-0.57,-0.51,-1.08,71,71,71
Kennett,-0.53,-0.58,-1.11,70,73,72
Center,-0.68,-0.55,-1.23,76,72,73
Cameron,-0.64,-0.62,-1.26,74,75,74
Versailles,-0.65,-0.62,-1.27,75,74,75
Warsaw,-0.63,-0.71,-1.34,73,79,76
Centralia,-0.73,-0.67,-1.4,78,77,77
Cassville,-0.77,-0.64,-1.41,81,76,78
Bayless,-0.75,-0.71,-1.46,80,78,79
St. James,-0.73,-0.82,-1.55,79,82,80
Soldan International Studies,-0.73,-0.83,-1.56,77,83,81
Cristo Rey,-0.87,-0.78,-1.64,84,80,82
Lincoln College Prep,-0.86,-0.79,-1.65,83,81,83
McCluer South-Berkeley,-0.79,-0.86,-1.65,82,84,84
North Technical,-0.96,-0.89,-1.84,85,85,85
Mexico,-1.03,-1.06,-2.09,86,87,86
Kirksville,-1.06,-1.04,-2.09,87,86,87
Richmond,-1.24,-1.06,-2.31,88,88,88
University City,-1.26,-1.18,-2.44,89,89,89
Normandy Collaborative,-1.46,-1.29,-2.75,92,90,90
East (Kansas City),-1.36,-1.39,-2.75,90,93,91
Union,-1.52,-1.36,-2.88,93,92,92
Jennings,-1.59,-1.35,-2.93,96,91,93
Monett,-1.58,-1.4,-2.99,95,94,94
Roosevelt,-1.42,-1.68,-3.1,91,96,95
Salem,-1.66,-1.52,-3.18,97,95,96
Hogan Prep Academy Charter,-1.57,-1.7,-3.27,94,98,97
Lift for Life Academy Charter,-1.67,-1.68,-3.36,98,97,98
Northeast (Kansas City),-1.76,-1.8,-3.56,99,99,99
Confluence Prep Academy Charter,-2.3,-2.17,-4.47,100,100,100
Central (Kansas City),-2.38,-2.26,-4.65,101,101,101
