Date,Home Team,Home Score,Away Team,Away Score
2015-08-20,Green Ridge,0,Osceola,2
2015-08-21,Meadow Heights,0,Advance,2
2015-08-21,Chamois,1,Belle,2
2015-08-21,Sarcoxie,2,Bunceton,0
2015-08-21,Valley,2,Bunker,0
2015-08-21,Hillcrest,0,Central (Springfield),2
2015-08-21,Hancock,2,Cleveland NJROTC,0
2015-08-21,Oakville,0,Francis Howell,2
2015-08-21,Ft. Zumwalt South,2,Hazelwood West,1
2015-08-21,Portageville,2,Holcomb,1
2015-08-21,Riverview Gardens,0,Jennings,2
2015-08-21,MICDS,0,Lutheran South,2
2015-08-21,Webster Groves,2,McCluer North,0
2015-08-21,Parkway South,1,Parkway Central,2
2015-08-21,Cor Jesu Academy,2,Parkway West,0
2015-08-21,Ladue Horton Watkins,0,Pattonville,2
2015-08-21,Liberty (Wentzville),2,Ritenour,1
2015-08-21,Jefferson City,0,St. Joseph's Academy,2
2015-08-21,Marquette,2,Washington,1
2015-08-21,Glendale,2,Waynesville,0
2015-08-22,St. Pius X (Festus),2,Affton,0
2015-08-22,Mehlville,2,Affton,0
2015-08-22,Pacific,2,Affton,0
2015-08-22,Hazelwood Central,1,Affton,2
2015-08-22,Jefferson (Festus),2,Clayton,0
2015-08-22,Windsor (Imperial),2,Clayton,0
2015-08-22,Hazelwood Central,1,Clayton,1
2015-08-22,Jefferson (Festus),2,Hazelwood Central,0
2015-08-22,Windsor (Imperial),2,Hazelwood Central,0
2015-08-22,Poplar Bluff,0,Kickapoo,2
2015-08-22,St. Pius X (Festus),2,Mehlville,0
2015-08-22,Jefferson (Festus),1,Mehlville,2
2015-08-22,Pacific,0,Mehlville,2
2015-08-22,St. Pius X (Festus),2,Pacific,0
2015-08-22,St. Pius X (Festus),2,Windsor (Imperial),0
2015-08-22,Jefferson (Festus),1,Windsor (Imperial),1
2015-08-24,Oak Ridge,0,Advance,2
2015-08-24,Zalma,0,Bell City,2
2015-08-24,Meadow Heights,1,Bell City,1
2015-08-24,Oak Ridge,0,Bell City,2
2015-08-24,Pierce City,1,Billings,2
2015-08-24,Camdenton,2,Bolivar,0
2015-08-24,Winfield,2,Bowling Green,0
2015-08-24,Trenton,0,Cameron,2
2015-08-24,Monett,0,Carthage,2
2015-08-24,Southland,0,Caruthersville,2
2015-08-24,Cooter,1,Charleston,2
2015-08-24,Senath-Hornersville,1,Clarkton,2
2015-08-24,Mountain Grove,2,Conway,0
2015-08-24,Linn,2,Cuba,1
2015-08-24,Tipton,0,Eldon,2
